"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"Accepted Currency","Tiền tệ được chấp nhận"
"Allow Partial Authorization","Allow Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Bạn có chắc là bạn muốn hủy bỏ thanh tóan của bạn không? Nhấn OK để hủy bỏ thanh tóan  và hòan lại số tiền đã giữ. Nhấn Cancel để nhập credit card khác và tiếp tục việc thanh tóan của bạn."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Cancel"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Lọai thẻ tín dụng "
"Credit Card Verification","Xác minh thẻ tín dụng"
"Credit Card: xxxx-%s","Thẻ tín dụng: xxxx-%s"
"Debug","Debug"
"Email Customer","Email khách hàng"
"Enabled","Được kích họat"
"Error in payment gateway.","Lỗi trong cổng thanh tóan."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu rỗng, một giá trị mặc định sẽ được sử dụng. Tùy chỉnh URL có thể được cung cấp theo thỏa thuận CardinalCommerce."
"Invalid amount for authorization.","Invalid amount for authorization."
"Invalid amount for capture.","Invalid amount for capture."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Số lượng không hợp lệ để hòan lại."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","Maximum Order Total"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Payment Action","Payment Action"
"Payment authorization error.","Lỗi cho phép thanh tóan."
"Payment canceling error.","Lỗi hủy bỏ thanh tóan."
"Payment capturing error.","Payment capturing error."
"Payment from Applicable Countries","Thanh tóan từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh tóan từ các nước cụ thể"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Lỗi hòan trả thanh tóan."
"Payment updating error.","Lỗi cập nhật thanh tóan."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Số tiền được xử lý"
"Remaining Balance","Số dư còn lại"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Nội dung giỏ hàng và/hoặc địa chỉ đã được thay đổi."
"Sort Order","Xếp theo thứ tự"
"Test Mode","Chế độ kiểm tra"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Số tiền trong thẻ tín dụng của bạn không đủ để hòan thành việc mua bán. Số tiền hiện có đã được đưa vào giữ. Để hòan thanh mua bán nhấn OK và xác định thêm số thẻ tín dụng. Để hủy bỏ việc mua bán và hòan lại số tiền đã giữ, nhấn cancel."
"There was an error canceling transactions. Please contact us or try again later.","Có một lỗi dẫn đến việc hủy giao dịch. Xin vui lòng liên hệ với chúng tôi và thử lại."
"Title","Tiêu đề"
"Transaction Key","Giao dịch chính"
"You have reached the maximum number of credit card allowed to be used for the payment.","Bạn đã đạt đến số lượng tối đa của thẻ tín dụng được phép sử dụng để thanh tóan."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Bạn đã đến số lượng tối đa của thẻ tín dụng có thể được sử dụng cho một thanh tóan. Số tiền có sẳn trên tất cả các thẻ được sử dụng là không đủ để hòan thành than tóan. Thanh tóan đã được hủy bỏ và các khoản giữ lại đã được hòan trả."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Thẻ tín dụng của bạn đã bị từ chối. Nhấn OK để xác định thẻ tín dụng khác để hòan thành việc mua bán. Nhấn Cancel để hòan trả số tiền đã giữ lại và chọn phương thức thanh tóan khác."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","amount %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","Đã thất bại"
"refund","Hòan trả"
"successful","Thành công"
"void","void"
