"Actions","Actions"
"Add Answer","Thêm câu trả lời"
"Add New Answer","Thêm câu trả lời mới"
"Add New Poll","Thêm bình chọn"
"Answer Title","Tiêu đề câu trả lời"
"Answer Title:","Tiêu đề câu trả lời:"
"Answer with the same title in this poll","Trả lời với cùng tiêu đề trong câu bình chọn này"
"Are you sure you want to delete it?","Bạn có chắc là bạn muốn xóa không?"
"Assigned Answers","Đã chỉ định câu trả lời"
"Closed","Đóng"
"Community Poll","Community Poll"
"Date Closed","Ngày đóng"
"Date Posted","Ngày đăng"
"Delete","Xóa"
"Delete Answer","Xóa câu trả lời"
"Delete Poll","Xóa câu bình chọn"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Không cho phép chọn nhiều lần trong câu bình chọn từ cùng một địa chỉ IP"
"Edit Answer '%s'","Sử câu trả lời '%s'"
"Edit Poll '%s'","Sử câu bình chọn '%s'"
"Edit Poll Answer","Sửa câu trả lời bình chọn"
"ID","ID"
"Invalid Answer.","Câu trả lời hợp lệ."
"New Poll","Câu bình chọn mới"
"Number of Responses","Number of Responses"
"Open","Mở"
"Poll Answers","Câu trả lời bình chọn"
"Poll Information","Thông tin bình chọn"
"Poll Manager","Quản lý bình chọn"
"Poll Question","Câu hỏi bình chọn"
"Poll information","Thông tin bình chọn"
"Poll with the same question","Câu bình chọn với cùng câu hỏi"
"Polls","Câu bình chọn"
"Save Answer","Lưu lại câu trả lời"
"Save Poll","Lưu lại câu bình chọn"
"Status","Trạng thái"
"The answer has been saved.","Câu trả lời đã được lưu."
"The poll does not exist.","Câu bình chọn không tồn tại."
"Unable to find an answer to delete.","Không thể tìm một câu trả lời để xóa."
"Visible In","Visible In"
"Vote","Bình chọn"
"Votes Count","Đếm số bình chon"
"Votes Count:","Đếm số bình chọn:"
