"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha là trường hợp nhạy cảm."
"After number of attempts to login","Sau một số nổ lực để đăng nhập"
"Always","Luôn luôn"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)"," hết giờ CAPTCHA (Phút)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Dùng CAPTCHA để ""Tạo form người dùng"" và "" Form quên password"" luôn luôn được mở nếu chọn"
"Case Sensitive","Trường hợp nhạy cảm"
"Displaying Mode","Trạng thái hiển thị"
"Enable CAPTCHA in Admin","Hỗ trợ CAPTCHA trong Admin"
"Enable CAPTCHA on Frontend","Hỗ trợ CAPTCHA ở Frontend"
"Font","Font"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Nếu 0 được xác định,CAPTCHA trong form Login sẽ luôn luôn có sẳn."
"Incorrect CAPTCHA.","Sai CAPTCHA."
"Number of Symbols","Một số ký hiệu"
"Number of Unsuccessful Attempts to Login","Một số nỗ lực không thành công để đăng nhập"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Xin vui lòng xác định 8 ký hiệu ở most. Liệt kê ký hiệu được cho phép (e.g. 3-5)"
"Please type the letters below","Xin vui lòng nhập ký tứ bên dưới"
"Please type the letters from the image:","Xin vui lòng nhập ký tự từ hình ảnh:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."," Xin vui lòng chỉ nhập ký tự từ (a-z or A-Z) hoặc số từ (0-9) trong trường này. Không có khỏang trắng hoặc ký tự khác được cho phép.<br />Tương tự xem những ký tự giảm dần khác (e.g. ""i"", ""l"", ""1"") thay đổi việc nhận thức đúng của khách hàng."
"Reload captcha","Tải captcha"
"Symbols Used in CAPTCHA","Ký hiệu được dùng trong CAPTCHA"
