"Add","Thêm"
"Add gift message for shopping cart","Thêm thông điệp gift cho giỏ hàng"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Thêm thông điệp gift cho sản phẩm của giỏ hàng"
"Add gift options","Thêm tùy chọn gift"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Thêm tùy chọn gift."
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"An error occurred while saving the gift message.","Một lỗi đã xuất hiện khi lưu thông điệp gift."
"Are you sure?","Bạn có chắc không?"
"Cancel","Bỏ qua"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Sửa"
"From","Từ"
"Gift Message","Thông điệp Gift "
"Gift Message API","Gift Message API"
"Gift Options","Tùy chọn Gift"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Thông điệp"
"No","No"
"OK","OK"
"Save Gift Message","Lưu thông điệp Gift"
"The gift message has been removed","Thông điệp gift đã được gỡ bỏ"
"The gift message has been saved","Thông điệp gift đã được lưu"
"The gift message has been saved.","Thông điệp gift đã được lưu."
"To","Đến"
"Unknown entity type","Lọai entity không xác định"
"Use config","Use config"
"Yes","Yes"
"You can leave this box blank if you do not wish to add a gift message for the item.","Bạn có thể bỏ trống ô này nếu bạn không muốn thêm một thông điệp gift cho item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Bạn có thể bỏ trống ô này nếu bạn không muốn thêm một thông điệp gift địa chỉ này."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Bạn có thể bỏ trống ô này nếu bạn không muốn thêm một thông điệp gift cho tòan bộ hóa đơn."
