"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data from: %s)"
"* Required Fields","* Trường được yêu cầu"
"-- Please Select --","-- Xin vui lòng chọn --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 bởi mặc định, nếu không được thiết lập. Để khởi tạo refresh, Xóa Blocks HTML mà xuất ra Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Thực hiện MAP mặc định sẽ ẩn tất cả giá sản phẩm ở frontend."
"A group with the same name already exists.","Một nhóm cùng tên đã tồn tại ."
"A name is required","Tên được yêu cầu"
"A product type is not defined for the indexer.","Một lọai sản phẩm không được định nghĩa cho indexer."
"ALL GROUPS","Tất cả nhóm"
"AM","AM"
"Action","Action"
"Actual Price","Giá thật sự"
"Add","Thêm"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add Group Price","Thêm nhóm giá"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute Set","Thêm một tập thuộc tính mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Option","Thêm tùy chọn mới"
"Add New Row","Thêm dòng mới"
"Add New Search Term","Thêm điều kiện tìm kiếm mới"
"Add New Set","Thêm thiết lập mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm tới website"
"Add Root Category","Thêm danh mục gốc"
"Add Subcategory","Thêm danh mục con"
"Add Tax","Thêm thuế"
"Add Tier","Thêm tier"
"Add attribute into attribute set","Thêm thuộc tính vào tập thuộc tính"
"Add group into attribute set","Thêm nhóm vào trong tập thuộc tính"
"Add new custom option into product","Thêm một lựa chọn mới vào trong sản phẩm"
"Add new values into custom option","Thêm một giá trị mới vào lựa chọn"
"Add option","Thêm một lựa chọn"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào Compare"
"Add to Wishlist","Thêm vào Wishlist"
"Additional Information","Thông tin thêm"
"Alert Urls","Thông báo Urls"
"All","Tất cả "
"All Product Types","Tất cả lọai sản phẩm"
"All Websites","Tất cả Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả sản phẩm của thiết lập này sẽ bị xóa! Bạn có muốn xóa một tập thuộc tính này không?"
"Allow All Products per Page","Cho phép tất cả sản phẩm mỗi trang"
"Allow Dynamic Media URLs in Products and Categories","Cho phép URLs media động trong sản phẩm và danh mục"
"Allow HTML Tags on Frontend","Cho phép HTML tags ở frontend"
"Allowed File Extensions","File phần mở rộng được cho phép"
"Allowed file extensions to upload","File phần mở rộng được cho phép để upload"
"An error occurred while adding products to websites.","Một lỗi đã xuất hiện khi thêm sản phẩm vào website."
