"Add Recipient","Thêm người nhận"
"Allow for Guests","Cho phép khách"
"An invalid email address for recipient was entered.","Một địa chỉ email không hợp lệ cho người nhận đã được nhập vào."
"At least one recipient must be specified.","Ít nhất một người nhận phải được xác định."
"Back","Trở lại"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email Templates","Email Templates"
"Email to a Friend","Email to a Friend"
"Email:","Email:"
"Enabled","Enabled"
"Invalid Sender Information","Thông tin gởi không hợp lệ"
"Invalid sender email.","Emai gởi không hợp lệ."
"Limit Sending By","Hạn chế gởi bởi"
"Max Products Sent in 1 Hour","Sản phẩm gởi tối đa trong một giờ"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Địa chỉ email %d tối đa được phép"
"Message:","Thông điệp:"
"Name","Tên"
"Name:","Tên:"
"No more than %d emails can be sent at a time.","Không nhiều hơn %d email được gởi tại một thời điểm"
"Please define a correct Cookie instance.","Xin vui lòng xác định một trường hợp cookie đúng."
"Please define a correct Product instance.","Xin vui lòng xác định một trường hợp sản phẩm đúng."
"Please define the correct Sender information.","Xin vui lòng xác định thông tin gởi đúng."
"Recipient:","Người nhận:"
"Remove Email","Gỡ bỏ Email"
"Select Email Template","Chọn Email Template"
"Send Email","Gởi Email"
"Send product to a friend","Gởi sản phẩm tới friend"
"Sender:","Sender:"
"Some emails were not sent.","Một vài email không được gởi."
"The link to a friend was sent.","Liên kết tới một friend được gởi."
"The message cannot be empty.","Thông điệp không được rỗng."
"The messages cannot be sent more than %d times in an hour","Thông điệp không thể được gởi nhiều hơn %d lần trong 1 giờ"
"The sender name cannot be empty.","Tên người gởi không thể rỗng."
"There were some problems with the data.","Có một vài lỗi với dữ liệu."
"You have exceeded limit of %d sends in an hour","Bạn đã vượt qua giới hạn gởi %d trong một giờ"
