"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s Đã được thêm vào wishlist của bạn. Chọn <a href=""%2$s"">ở đây</a> để tiếp tục mua hàng."
"%1$s has been updated in your wishlist.","%1$s Đã được cập nhật vào wishlist của bạn."
"%d product(s) have been added to shopping cart: %s.","%d Sản phẩm đã được thêm vào giỏ hàng: %s."
"%s for ""%s"".","%s cho ""%s""."
"%s has been moved to wishlist %s","%s Đã được chuyển đến wishlist %s"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* Trường được yêu cầu "
"Add All to Cart","Thêm tất cả vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào Compare"
"Add to Wishlist","Thêm vào Wishlist"
"Added From","Được thêm từ"
"An error occurred while adding item to wishlist.","Một lỗi đã xuất hiện khi thêm sản phẩm vào wishlist."
"An error occurred while adding item to wishlist: %s","Một lỗi đã xuất hiện khi thêm sản phẩm vào wishlist: %s"
"An error occurred while deleting the item from wishlist.","Một lỗi đã xuất hiện khi xóa sản phẩm từ wishlist."
"An error occurred while deleting the item from wishlist: %s","Một lỗi đã xuất hiện khi xóa sản phẩm từ wishlist: %s"
"An error occurred while updating wishlist.","Một lỗi đã xuất hiện khi cập nhật wishlist."
"Are you sure you want to remove this product from your wishlist?","Bạn có chắc là bạn muốn gỡ bỏ sản phẩm này từ wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Bạn có chắc là bạn muốn gỡ bỏ sản phẩm này từ wishlist?"
"Back","Trở lại"
"Can\'t delete item from wishlist","Không thể xóa sản phẩm từ wishlist"
"Can\'t save description %s","Không thể lưu mô tả %s"
"Can\'t update wishlist","Không thể cập nhật wishlist"
"Cannot add item to shopping cart","Không thể thêm sản phẩm vào giỏ hàng"
"Cannot add the item to shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot configure product","Không thể cấu hình sản phẩm "
"Cannot load wishlist item","Không thể tải sản phẩm wishlist"
"Cannot move item to wishlist","Không thể di chuyển sản phẩm vào wishlist"
"Cannot specify product.","Không thể xác định sản phẩm."
"Cannot specify wishlist item.","Không thể xác định sản phẩm wshlist."
"Cannot specify wishlist.","Không thể xác định wishlist."
"Cannot update wishlist","Không thể cập nhật wishlist"
